Store_ID,Store_Name,Location,City,State,Zip_Code,Country,Manager,Phone_Number,Email,Opening_Date,Store_Type,Annual_Revenue,Number_of_Employees,Rating
S001,Store_1,Location_1,City_5,State_5,79189,USA,Manager_1,123-456-3812,store1@example.com,18-09-19,Franchise,337504.1,37,3.8
S002,Store_2,Location_2,City_10,State_5,84663,USA,Manager_2,123-456-6194,store2@example.com,20-07-21,Retail,843050.01,6,4.3
S003,Store_3,Location_3,City_8,State_5,61458,USA,Manager_3,123-456-4692,store3@example.com,17-09-05,Warehouse,852536.75,42,3.6
S004,Store_4,Location_4,City_9,State_5,94894,USA,Manager_4,123-456-7768,store4@example.com,26-02-20,Online,51215.6,20,3.5
S005,Store_5,Location_5,City_7,State_5,26033,USA,Manager_5,123-456-2391,store5@example.com,28-08-22,Retail,737043.03,27,3.5
S006,Store_6,Location_6,City_5,State_3,87317,USA,Manager_6,123-456-5394,store6@example.com,12-07-19,Franchise,555726.19,21,3.8
S007,Store_7,Location_7,City_1,State_2,98345,USA,Manager_7,123-456-6612,store7@example.com,25-05-12,Online,127479.53,27,4.3
S008,Store_8,Location_8,City_9,State_3,14138,USA,Manager_8,123-456-6068,store8@example.com,16-08-05,Franchise,626483.69,16,3.3
S009,Store_9,Location_9,City_9,State_5,54761,USA,Manager_9,123-456-4958,store9@example.com,17-01-13,Warehouse,946487.97,22,4.7
S010,Store_10,Location_10,City_2,State_1,34144,USA,Manager_10,123-456-8956,store10@example.com,14-03-01,Online,816341.31,19,4.7
S011,Store_11,Location_11,City_8,State_5,44642,USA,Manager_11,123-456-7617,store11@example.com,22-07-12,Online,862612.21,34,3.6
S012,Store_12,Location_12,City_10,State_1,66635,USA,Manager_12,123-456-9028,store12@example.com,26-02-14,Franchise,564873.66,43,5
S013,Store_13,Location_13,City_6,State_5,31854,USA,Manager_13,123-456-7630,store13@example.com,14-07-10,Warehouse,221130.16,18,4
S014,Store_14,Location_14,City_10,State_4,30191,USA,Manager_14,123-456-7002,store14@example.com,14-02-07,Online,865608.72,15,4.7
S015,Store_15,Location_15,City_8,State_1,88658,USA,Manager_15,123-456-7236,store15@example.com,14-02-20,Online,739552.21,39,3.8
S016,Store_16,Location_16,City_7,State_5,55263,USA,Manager_16,123-456-9502,store16@example.com,13-03-06,Franchise,974871.47,23,4
S017,Store_17,Location_17,City_7,State_3,21919,USA,Manager_17,123-456-9166,store17@example.com,17-03-20,Online,706719.55,39,4.4
S018,Store_18,Location_18,City_4,State_4,86234,USA,Manager_18,123-456-2619,store18@example.com,20-05-19,Online,618271,19,3.5
S019,Store_19,Location_19,City_4,State_1,84619,USA,Manager_19,123-456-2640,store19@example.com,16-02-09,Online,793594.71,5,4
S020,Store_20,Location_20,City_7,State_1,91583,USA,Manager_20,123-456-5657,store20@example.com,18-05-06,Retail,911797.34,39,4.6
S021,Store_21,Location_21,City_6,State_2,66434,USA,Manager_21,123-456-6265,store21@example.com,17-05-04,Warehouse,515810.32,10,3.1
S022,Store_22,Location_22,City_6,State_5,90899,USA,Manager_22,123-456-4972,store22@example.com,16-07-05,Franchise,519581.41,34,4.9
S023,Store_23,Location_23,City_3,State_3,22759,USA,Manager_23,123-456-9604,store23@example.com,28-01-23,Retail,169155.38,8,3.4
S024,Store_24,Location_24,City_2,State_4,46526,USA,Manager_24,123-456-5394,store24@example.com,13-04-16,Retail,868170.3,10,4.5
S025,Store_25,Location_25,City_4,State_1,46031,USA,Manager_25,123-456-1900,store25@example.com,14-08-17,Warehouse,125214.36,9,4.4
S026,Store_26,Location_26,City_8,State_5,40120,USA,Manager_26,123-456-4126,store26@example.com,17-08-21,Retail,721727.41,26,4.7
S027,Store_27,Location_27,City_2,State_4,39870,USA,Manager_27,123-456-2560,store27@example.com,10-06-22,Franchise,738388.94,7,4.9
S028,Store_28,Location_28,City_3,State_4,12310,USA,Manager_28,123-456-8277,store28@example.com,19-05-12,Warehouse,183516.99,15,4.9
S029,Store_29,Location_29,City_8,State_5,45320,USA,Manager_29,123-456-7763,store29@example.com,13-01-09,Warehouse,225307.42,22,4.6
S030,Store_30,Location_30,City_3,State_3,16634,USA,Manager_30,123-456-7989,store30@example.com,23-09-01,Retail,107045.42,44,4.2
S031,Store_31,Location_31,City_10,State_3,78769,USA,Manager_31,123-456-1801,store31@example.com,19-07-07,Retail,283557.96,41,4.5
S032,Store_32,Location_32,City_9,State_1,64080,USA,Manager_32,123-456-4391,store32@example.com,10-02-15,Franchise,253788.91,36,4
